patron,drink,executionTime,queueLevel,arrivalTime,serviceStartTime,completionTime,waitingTime,turnaroundTime,responseTime
0,Tequila shot,20,0,1779016304349,1779016304349,1779016304370,0,21,0
1,Pina Colada,100,0,1779016304370,1779016304392,1779016304497,22,127,22
0,Draft Beer,50,0,1779016304374,1779016304505,1779016304560,131,186,131
2,Cider,25,0,1779016304573,1779016304573,1779016304603,0,30,0
1,B52,200,0,1779016304623,1779016304623,1779016304826,0,203,0
0,Red Wine,25,0,1779016304666,1779016304834,1779016304862,168,196,168
2,B52,200,0,1779016304706,1779016304870,1779016305073,164,367,164
1,Vodka shot,20,0,1779016304837,1779016305080,1779016305105,243,268,243
0,Pina Colada,100,0,1779016305014,1779016305112,1779016305214,98,200,98
3,Pina Colada,100,0,1779016305070,1779016305221,1779016305326,151,256,151
4,Red Wine,25,0,1779016305095,1779016305334,1779016305364,239,269,239
1,Pina Colada,100,0,1779016305109,1779016305372,1779016305474,263,365,263
5,Draft Beer,50,0,1779016305394,1779016305482,1779016305536,88,142,88
3,Cider,25,0,1779016305452,1779016305544,1779016305569,92,117,92
4,Mojito,75,0,1779016305519,1779016305576,1779016305656,57,137,57
1,Red Wine,25,0,1779016305598,1779016305663,1779016305693,65,95,65
5,Beer,25,0,1779016305638,1779016305699,1779016305727,61,89,61
3,Mojito,75,0,1779016305674,1779016305734,1779016305813,60,139,60
4,Gin and Tonic,40,0,1779016305768,1779016305820,1779016305865,52,97,52
5,B52,200,0,1779016305833,1779016305872,1779016306077,39,244,39
3,Margarita,75,0,1779016305928,1779016306085,1779016306165,157,237,157
4,Beer,25,0,1779016305980,1779016306172,1779016306198,192,218,192
5,Bloody Mary,70,0,1779016306090,1779016306204,1779016306277,114,187,114
6,B52,200,0,1779016306095,1779016306284,1779016306488,189,393,189
3,B52,200,0,1779016306250,1779016306495,1779016306695,245,445,245
4,B52,200,0,1779016306303,1779016306702,1779016306906,399,603,399
7,Pina Colada,100,0,1779016306438,1779016306913,1779016307018,475,580,475
6,Martini,60,0,1779016306501,1779016307026,1779016307091,525,590,525
8,Mojito,75,0,1779016306671,1779016307098,1779016307177,427,506,427
3,Beer,25,0,1779016306707,1779016307185,1779016307214,478,507,478
4,Bloody Mary,70,0,1779016306919,1779016307221,1779016307292,302,373,302
6,Red Wine,25,0,1779016307206,1779016307299,1779016307324,93,118,93
3,Tequila shot,20,0,1779016307319,1779016307332,1779016307356,13,37,13
3,Vodka shot,20,0,1779016307361,1779016307363,1779016307388,2,27,2
6,Martini,60,0,1779016307477,1779016307478,1779016307542,1,65,1
6,Tequila shot,20,0,1779016307656,1779016307657,1779016307681,1,25,1
6,Cosmopolitan,65,0,1779016307686,1779016307689,1779016307755,3,69,3
6,Tequila shot,20,0,1779016307808,1779016307808,1779016307830,0,22,0
9,Tequila shot,20,0,1779016308348,1779016308348,1779016308372,0,24,0
9,B52,200,0,1779016308376,1779016308380,1779016308580,4,204,4
9,Bloody Mary,70,0,1779016308594,1779016308594,1779016308669,0,75,0
9,White Wine,25,0,1779016308823,1779016308823,1779016308853,0,30,0
9,Draft Beer,50,0,1779016309010,1779016309010,1779016309063,0,53,0
9,Mojito,75,0,1779016309164,1779016309165,1779016309244,1,80,1
9,Mojito,75,0,1779016309358,1779016309358,1779016309438,0,80,0
0,Pina Colada,100,0,1779016328757,1779016328758,1779016328863,1,106,1
0,Mojito,75,0,1779016328989,1779016328989,1779016329069,0,80,0
1,White Wine,25,0,1779016329408,1779016329408,1779016329439,0,31,0
1,Draft Beer,50,0,1779016329594,1779016329594,1779016329649,0,55,0
2,Cosmopolitan,65,0,1779016330320,1779016330320,1779016330390,0,70,0
3,Tequila shot,20,0,1779016330365,1779016330398,1779016330424,33,59,33
4,Gin and Tonic,40,0,1779016330393,1779016330431,1779016330476,38,83,38
3,Cosmopolitan,65,0,1779016330428,1779016330484,1779016330553,56,125,56
2,Draft Beer,50,0,1779016330442,1779016330561,1779016330616,119,174,119
5,Cider,25,0,1779016330575,1779016330623,1779016330653,48,78,48
4,B52,200,0,1779016330589,1779016330659,1779016330864,70,275,70
3,Margarita,75,0,1779016330605,1779016330872,1779016330951,267,346,267
5,Red Wine,25,0,1779016330754,1779016330959,1779016330989,205,235,205
6,Cosmopolitan,65,0,1779016330758,1779016330997,1779016331066,239,308,239
7,B52,200,0,1779016330781,1779016331074,1779016331274,293,493,293
8,Margarita,75,0,1779016330875,1779016331282,1779016331362,407,487,407
4,Draft Beer,50,0,1779016330877,1779016331370,1779016331426,493,549,493
3,Cosmopolitan,65,0,1779016331037,1779016331433,1779016331499,396,462,396
9,White Wine,25,0,1779016331085,1779016331506,1779016331533,421,448,421
6,Margarita,75,0,1779016331122,1779016331540,1779016331620,418,498,418
5,Cider,25,0,1779016331142,1779016331627,1779016331655,485,513,485
7,Mojito,75,0,1779016331287,1779016331663,1779016331743,376,456,376
8,B52,200,0,1779016331448,1779016331751,1779016331955,303,507,303
4,Draft Beer,50,0,1779016331528,1779016331962,1779016332016,434,488,434
3,Vodka shot,20,0,1779016331553,1779016332023,1779016332047,470,494,470
5,Cosmopolitan,65,0,1779016331756,1779016332055,1779016332123,299,367,299
7,Draft Beer,50,0,1779016331858,1779016332130,1779016332181,272,323,272
8,White Wine,25,0,1779016331967,1779016332188,1779016332218,221,251,221
3,Cider,25,0,1779016332052,1779016332225,1779016332252,173,200,173
4,Draft Beer,50,0,1779016332122,1779016332259,1779016332311,137,189,137
5,Red Wine,25,0,1779016332178,1779016332318,1779016332346,140,168,140
7,Gin and Tonic,40,0,1779016332282,1779016332354,1779016332399,72,117,72
8,Draft Beer,50,0,1779016332373,1779016332407,1779016332458,34,85,34
4,White Wine,25,0,1779016332416,1779016332465,1779016332493,49,77,49
5,Bloody Mary,70,0,1779016332500,1779016332501,1779016332577,1,77,1
7,B52,200,0,1779016332516,1779016332584,1779016332788,68,272,68
8,Mojito,75,0,1779016332561,1779016332795,1779016332871,234,310,234
4,Bloody Mary,70,0,1779016332645,1779016332879,1779016332951,234,306,234
7,Draft Beer,50,0,1779016332802,1779016332959,1779016333013,157,211,157
4,Martini,60,0,1779016333105,1779016333105,1779016333167,0,62,0
0,B52,200,0,1779016350645,1779016350646,1779016350851,1,206,1
0,White Wine,25,0,1779016350864,1779016350873,1779016350904,9,40,9
1,Tequila shot,20,0,1779016351051,1779016351052,1779016351077,1,26,1
0,Vodka shot,20,0,1779016351059,1779016351084,1779016351109,25,50,25
1,Cider,25,0,1779016351081,1779016351117,1779016351147,36,66,36
0,Mojito,75,0,1779016351114,1779016351155,1779016351235,41,121,41
2,Cosmopolitan,65,0,1779016351156,1779016351243,1779016351310,87,154,87
