patron,drink,executionTime,queueLevel,arrivalTime,serviceStartTime,completionTime,waitingTime,turnaroundTime,responseTime
0,Tequila shot,20,0,1779016322592,1779016322596,1779016322621,4,29,4
1,Pina Colada,100,0,1779016322615,1779016322645,1779016322750,30,135,30
0,Draft Beer,50,1,1779016322626,1779016322758,1779016322813,132,187,132
2,Cider,25,0,1779016322817,1779016322820,1779016322847,3,30,3
1,B52,200,1,1779016322876,1779016322877,1779016323082,1,206,1
2,B52,200,1,1779016322951,1779016323090,1779016323294,139,343,139
0,Red Wine,25,2,1779016322919,1779016323301,1779016323327,382,408,382
3,Pina Colada,100,0,1779016323315,1779016323334,1779016323438,19,123,19
4,Pina Colada,100,0,1779016323340,1779016323446,1779016323548,106,208,106
1,Vodka shot,20,2,1779016323094,1779016323556,1779016323581,462,487,462
3,Pina Colada,100,1,1779016323564,1779016323588,1779016323689,24,125,24
5,Cider,25,0,1779016323639,1779016323696,1779016323725,57,86,57
4,Mojito,75,1,1779016323672,1779016323732,1779016323809,60,137,60
0,Red Wine,25,2,1779016323482,1779016323816,1779016323842,334,360,334
5,Beer,25,1,1779016323827,1779016323849,1779016323876,22,49,22
1,Draft Beer,50,2,1779016323585,1779016323884,1779016323939,299,354,299
3,Red Wine,25,2,1779016323813,1779016323946,1779016323974,133,161,133
4,Mojito,75,2,1779016323922,1779016323982,1779016324062,60,140,60
5,Gin and Tonic,40,2,1779016323982,1779016324069,1779016324114,87,132,87
1,B52,200,2,1779016324041,1779016324121,1779016324327,80,286,80
3,Margarita,75,2,1779016324128,1779016324334,1779016324410,206,282,206
6,B52,200,0,1779016324341,1779016324418,1779016324619,77,278,77
4,Beer,25,2,1779016324177,1779016324626,1779016324655,449,478,449
6,B52,200,1,1779016324631,1779016324662,1779016324863,31,232,31
7,Pina Colada,100,0,1779016324684,1779016324871,1779016324976,187,292,187
8,Beer,25,0,1779016324920,1779016324984,1779016325014,64,94,64
5,Bloody Mary,70,2,1779016324230,1779016325022,1779016325096,792,866,792
3,B52,200,2,1779016324496,1779016325104,1779016325307,608,811,608
4,Martini,60,2,1779016324759,1779016325315,1779016325377,556,618,556
6,Mojito,75,2,1779016324876,1779016325385,1779016325465,509,589,509
3,Bloody Mary,70,2,1779016325319,1779016325472,1779016325547,153,228,153
4,Red Wine,25,2,1779016325490,1779016325555,1779016325585,65,95,65
6,Tequila shot,20,2,1779016325576,1779016325591,1779016325616,15,40,15
6,Vodka shot,20,2,1779016325620,1779016325623,1779016325648,3,28,3
6,Martini,60,2,1779016325652,1779016325655,1779016325720,3,68,3
3,Tequila shot,20,2,1779016325702,1779016325726,1779016325751,24,49,24
3,Cosmopolitan,65,2,1779016325755,1779016325758,1779016325827,3,72,3
6,Tequila shot,20,2,1779016325834,1779016325835,1779016325855,1,21,1
9,Tequila shot,20,0,1779016326594,1779016326595,1779016326620,1,26,1
9,B52,200,1,1779016326624,1779016326628,1779016326830,4,206,4
9,Bloody Mary,70,2,1779016326842,1779016326843,1779016326917,1,75,1
9,White Wine,25,2,1779016327072,1779016327073,1779016327103,1,31,1
9,Draft Beer,50,2,1779016327258,1779016327259,1779016327314,1,56,1
9,Mojito,75,2,1779016327421,1779016327422,1779016327502,1,81,1
9,Mojito,75,2,1779016327617,1779016327618,1779016327696,1,79,1
0,Pina Colada,100,0,1779016345277,1779016345282,1779016345386,5,109,5
0,Mojito,75,1,1779016345514,1779016345515,1779016345590,1,76,1
1,White Wine,25,0,1779016345928,1779016345928,1779016345958,0,30,0
1,Draft Beer,50,1,1779016346112,1779016346112,1779016346163,0,51,0
2,Cosmopolitan,65,0,1779016346837,1779016346838,1779016346908,1,71,1
3,Tequila shot,20,0,1779016346885,1779016346916,1779016346940,31,55,31
4,Gin and Tonic,40,0,1779016346914,1779016346948,1779016346989,34,75,34
3,Cosmopolitan,65,1,1779016346944,1779016346996,1779016347064,52,120,52
2,Draft Beer,50,1,1779016346964,1779016347072,1779016347124,108,160,108
5,Cider,25,0,1779016347096,1779016347131,1779016347161,35,65,35
4,B52,200,1,1779016347105,1779016347169,1779016347372,64,267,64
6,Cosmopolitan,65,0,1779016347279,1779016347380,1779016347449,101,170,101
7,B52,200,0,1779016347302,1779016347457,1779016347662,155,360,155
8,Draft Beer,50,0,1779016347396,1779016347670,1779016347722,274,326,274
9,White Wine,25,0,1779016347606,1779016347730,1779016347760,124,154,124
5,Red Wine,25,1,1779016347266,1779016347767,1779016347797,501,531,501
6,Cosmopolitan,65,1,1779016347504,1779016347805,1779016347874,301,370,301
7,Margarita,75,1,1779016347675,1779016347882,1779016347962,207,287,207
8,Cider,25,1,1779016347826,1779016347969,1779016347997,143,171,143
3,Margarita,75,2,1779016347120,1779016348005,1779016348084,885,964,885
4,Margarita,75,2,1779016347385,1779016348091,1779016348171,706,786,706
5,Mojito,75,2,1779016347953,1779016348178,1779016348256,225,303,225
7,B52,200,2,1779016348046,1779016348264,1779016348465,218,419,218
8,Draft Beer,50,2,1779016348100,1779016348472,1779016348528,372,428,372
3,Vodka shot,20,2,1779016348166,1779016348536,1779016348561,370,395,370
4,Cosmopolitan,65,2,1779016348257,1779016348569,1779016348639,312,382,312
5,Draft Beer,50,2,1779016348371,1779016348646,1779016348701,275,330,275
7,White Wine,25,2,1779016348477,1779016348708,1779016348738,231,261,231
3,Cider,25,2,1779016348565,1779016348745,1779016348773,180,208,180
8,Draft Beer,50,2,1779016348631,1779016348781,1779016348837,150,206,150
4,Red Wine,25,2,1779016348693,1779016348843,1779016348869,150,176,150
5,Gin and Tonic,40,2,1779016348807,1779016348876,1779016348920,69,113,69
3,Draft Beer,50,2,1779016348878,1779016348928,1779016348982,50,104,50
7,White Wine,25,2,1779016348894,1779016348989,1779016349019,95,125,95
8,Bloody Mary,70,2,1779016348939,1779016349026,1779016349101,87,162,87
4,B52,200,2,1779016349024,1779016349108,1779016349313,84,289,84
5,Mojito,75,2,1779016349035,1779016349320,1779016349400,285,365,285
7,Bloody Mary,70,2,1779016349173,1779016349408,1779016349483,235,310,235
4,Draft Beer,50,2,1779016349325,1779016349490,1779016349541,165,216,165
4,Martini,60,2,1779016349645,1779016349646,1779016349710,1,65,1
0,B52,200,0,1779016364392,1779016364396,1779016364601,4,209,4
0,White Wine,25,1,1779016364614,1779016364628,1779016364658,14,44,14
1,Tequila shot,20,0,1779016364793,1779016364793,1779016364817,0,24,0
1,Cider,25,1,1779016364822,1779016364825,1779016364852,3,30,3
0,Vodka shot,20,2,1779016364809,1779016364859,1779016364882,50,73,50
0,Mojito,75,2,1779016364886,1779016364889,1779016364967,3,81,3
2,Cosmopolitan,65,0,1779016364892,1779016364975,1779016365043,83,151,83
1,Red Wine,25,2,1779016364958,1779016365050,1779016365080,92,122,92
0,Red Wine,25,2,1779016365080,1779016365087,1779016365115,7,35,7
2,Vodka shot,20,1,1779016365094,1779016365123,1779016365147,29,53,29
2,Tequila shot,20,2,1779016365152,1779016365155,1779016365180,3,28,3
2,Draft Beer,50,2,1779016365184,1779016365188,1779016365239,4,55,4
0,Beer,25,2,1779016365271,1779016365272,1779016365297,1,26,1
3,Red Wine,25,0,1779016365330,1779016365330,1779016365356,0,26,0
2,Gin and Tonic,40,2,1779016365344,1779016365363,1779016365408,19,64,19
0,Vodka shot,20,2,1779016365403,1779016365416,1779016365438,13,35,13
0,Gin and Tonic,40,2,1779016365443,1779016365445,1779016365490,2,47,2
3,Mojito,75,1,1779016365510,1779016365511,1779016365589,1,79,1
4,Vodka shot,20,0,1779016365700,1779016365701,1779016365726,1,26,1
4,Vodka shot,20,1,1779016365730,1779016365733,1779016365758,3,28,3
3,Red Wine,25,2,1779016365701,1779016365765,1779016365795,64,94,64
4,Mojito,75,2,1779016365762,1779016365801,1779016365881,39,119,39
3,Bloody Mary,70,2,1779016365950,1779016365951,1779016366026,1,76,1
4,White Wine,25,2,1779016365995,1779016366033,1779016366063,38,68,38
5,Pina Colada,100,0,1779016366096,1779016366096,1779016366200,0,104,0
3,Pina Colada,100,2,1779016366181,1779016366207,1779016366312,26,131,26
6,B52,200,0,1779016366286,1779016366319,1779016366524,33,238,33
7,Martini,60,0,1779016366353,1779016366532,1779016366593,179,240,179
5,Margarita,75,1,1779016366321,1779016366600,1779016366679,279,358,279
6,Martini,60,1,1779016366546,1779016366687,1779016366752,141,206,141
7,White Wine,25,1,1779016366709,1779016366760,1779016366790,51,81,51
4,Beer,25,2,1779016366218,1779016366797,1779016366826,579,608,579
5,Mojito,75,2,1779016366763,1779016366834,1779016366913,71,150,71
