patron,drink,executionTime,queueLevel,arrivalTime,serviceStartTime,completionTime,waitingTime,turnaroundTime,responseTime
0,Tequila shot,20,0,1779016316501,1779016316505,1779016316525,4,24,4
0,Draft Beer,50,0,1779016316530,1779016316548,1779016316603,18,73,18
1,Pina Colada,100,0,1779016316525,1779016316609,1779016316715,84,190,84
0,Cider,25,0,1779016316707,1779016316722,1779016316752,15,45,15
2,B52,200,0,1779016316729,1779016316759,1779016316964,30,235,30
0,B52,200,0,1779016316857,1779016316972,1779016317172,115,315,115
1,Red Wine,25,0,1779016316840,1779016317180,1779016317206,340,366,340
2,Vodka shot,20,0,1779016316976,1779016317213,1779016317237,237,261,237
3,Pina Colada,100,0,1779016317225,1779016317244,1779016317344,19,119,19
4,Pina Colada,100,0,1779016317250,1779016317352,1779016317457,102,207,102
1,Red Wine,25,0,1779016317361,1779016317465,1779016317491,104,130,104
3,Pina Colada,100,0,1779016317469,1779016317498,1779016317603,29,134,29
4,Cider,25,0,1779016317582,1779016317610,1779016317637,28,55,28
5,Draft Beer,50,0,1779016317550,1779016317644,1779016317697,94,147,94
1,Mojito,75,0,1779016317646,1779016317705,1779016317782,59,136,59
3,Red Wine,25,0,1779016317724,1779016317789,1779016317817,65,93,65
4,Beer,25,0,1779016317742,1779016317825,1779016317855,83,113,83
5,Mojito,75,0,1779016317803,1779016317862,1779016317942,59,139,59
1,Gin and Tonic,40,0,1779016317897,1779016317950,1779016317993,53,96,53
3,Margarita,75,0,1779016317972,1779016318001,1779016318079,29,107,29
4,B52,200,0,1779016317958,1779016318086,1779016318291,128,333,128
3,Bloody Mary,70,0,1779016318163,1779016318298,1779016318372,135,209,135
4,B52,200,0,1779016318305,1779016318380,1779016318585,75,280,75
3,B52,200,0,1779016318526,1779016318592,1779016318797,66,271,66
4,Martini,60,0,1779016318598,1779016318806,1779016318867,208,269,208
3,Mojito,75,0,1779016318817,1779016318873,1779016318953,56,136,56
5,Beer,25,0,1779016318056,1779016318960,1779016318987,904,931,904
6,B52,200,0,1779016318252,1779016318994,1779016319199,742,947,742
3,Bloody Mary,70,0,1779016319069,1779016319206,1779016319281,137,212,137
5,Red Wine,25,0,1779016319093,1779016319289,1779016319317,196,224,196
6,Tequila shot,20,0,1779016319212,1779016319324,1779016319348,112,136,112
6,Vodka shot,20,0,1779016319352,1779016319355,1779016319377,3,25,3
6,Martini,60,0,1779016319381,1779016319384,1779016319448,3,67,3
7,Pina Colada,100,0,1779016318595,1779016319455,1779016319560,860,965,860
6,Tequila shot,20,0,1779016319564,1779016319568,1779016319591,4,27,4
6,Cosmopolitan,65,0,1779016319596,1779016319599,1779016319665,3,69,3
8,Beer,25,0,1779016318830,1779016319671,1779016319701,841,871,841
6,Tequila shot,20,0,1779016319717,1779016319717,1779016319741,0,24,0
9,Tequila shot,20,0,1779016320505,1779016320505,1779016320530,0,25,0
9,B52,200,0,1779016320534,1779016320538,1779016320739,4,205,4
9,Bloody Mary,70,0,1779016320751,1779016320751,1779016320824,0,73,0
9,White Wine,25,0,1779016320979,1779016320979,1779016321005,0,26,0
9,Draft Beer,50,0,1779016321161,1779016321161,1779016321214,0,53,0
9,Mojito,75,0,1779016321318,1779016321319,1779016321396,1,78,1
9,Mojito,75,0,1779016321512,1779016321512,1779016321592,0,80,0
0,Pina Colada,100,0,1779016339715,1779016339718,1779016339823,3,108,3
0,Mojito,75,0,1779016339948,1779016339948,1779016340027,0,79,0
1,White Wine,25,0,1779016340368,1779016340368,1779016340397,0,29,0
1,Draft Beer,50,0,1779016340552,1779016340552,1779016340605,0,53,0
2,Cosmopolitan,65,0,1779016341277,1779016341277,1779016341347,0,70,0
3,Tequila shot,20,0,1779016341325,1779016341355,1779016341380,30,55,30
3,Cosmopolitan,65,0,1779016341384,1779016341386,1779016341457,2,73,2
2,Draft Beer,50,0,1779016341401,1779016341464,1779016341519,63,118,63
3,Cider,25,0,1779016341510,1779016341527,1779016341555,17,45,17
4,Gin and Tonic,40,0,1779016341354,1779016341563,1779016341607,209,253,209
5,B52,200,0,1779016341536,1779016341614,1779016341819,78,283,78
3,Margarita,75,0,1779016341657,1779016341825,1779016341905,168,248,168
4,Cosmopolitan,65,0,1779016341721,1779016341913,1779016341981,192,260,192
5,Margarita,75,0,1779016341831,1779016341988,1779016342069,157,238,157
3,Cosmopolitan,65,0,1779016341991,1779016342077,1779016342147,86,156,86
4,White Wine,25,0,1779016342033,1779016342155,1779016342185,122,152,122
5,Cider,25,0,1779016342154,1779016342193,1779016342221,39,67,39
3,Mojito,75,0,1779016342201,1779016342228,1779016342306,27,105,27
6,Red Wine,25,0,1779016341719,1779016342313,1779016342343,594,624,594
4,Draft Beer,50,0,1779016342337,1779016342350,1779016342405,13,68,13
5,B52,200,0,1779016342326,1779016342413,1779016342618,87,292,87
4,Cosmopolitan,65,0,1779016342511,1779016342624,1779016342694,113,183,113
5,Draft Beer,50,0,1779016342631,1779016342702,1779016342757,71,126,71
4,White Wine,25,0,1779016342747,1779016342764,1779016342794,17,47,17
6,Vodka shot,20,0,1779016342498,1779016342802,1779016342826,304,328,304
7,B52,200,0,1779016341742,1779016342834,1779016343036,1092,1294,1092
4,Draft Beer,50,0,1779016342948,1779016343044,1779016343099,96,151,96
