patron,drink,executionTime,queueLevel,arrivalTime,serviceStartTime,completionTime,waitingTime,turnaroundTime,responseTime
0,Tequila shot,20,0,1779016310440,1779016310441,1779016310466,1,26,1
0,Draft Beer,50,0,1779016310470,1779016310490,1779016310545,20,75,20
1,Pina Colada,100,0,1779016310465,1779016310551,1779016310656,86,191,86
0,Cider,25,0,1779016310649,1779016310663,1779016310693,14,44,14
2,B52,200,0,1779016310667,1779016310700,1779016310905,33,238,33
1,Red Wine,25,0,1779016310782,1779016310912,1779016310939,130,157,130
2,Vodka shot,20,0,1779016310916,1779016310946,1779016310968,30,52,30
0,B52,200,0,1779016310797,1779016310976,1779016311181,179,384,179
1,Pina Colada,100,0,1779016311090,1779016311187,1779016311289,97,199,97
4,Red Wine,25,0,1779016311187,1779016311296,1779016311326,109,139,109
3,Pina Colada,100,0,1779016311165,1779016311334,1779016311437,169,272,169
1,Pina Colada,100,0,1779016311414,1779016311444,1779016311548,30,134,30
5,Cider,25,0,1779016311489,1779016311555,1779016311583,66,94,66
4,Draft Beer,50,0,1779016311479,1779016311590,1779016311645,111,166,111
3,Mojito,75,0,1779016311562,1779016311653,1779016311733,91,171,91
1,Red Wine,25,0,1779016311672,1779016311740,1779016311770,68,98,68
5,Beer,25,0,1779016311688,1779016311778,1779016311808,90,120,90
4,Mojito,75,0,1779016311749,1779016311815,1779016311893,66,144,66
3,Gin and Tonic,40,0,1779016311844,1779016311901,1779016311944,57,100,57
5,B52,200,0,1779016311912,1779016311951,1779016312154,39,242,39
3,Beer,25,0,1779016312055,1779016312161,1779016312187,106,132,106
5,Bloody Mary,70,0,1779016312165,1779016312195,1779016312270,30,105,30
4,Margarita,75,0,1779016312009,1779016312277,1779016312355,268,346,268
6,B52,200,0,1779016312191,1779016312363,1779016312568,172,377,172
7,Pina Colada,100,0,1779016312534,1779016312575,1779016312681,41,147,41
6,Martini,60,0,1779016312580,1779016312689,1779016312752,109,172,109
3,B52,200,0,1779016312293,1779016312760,1779016312964,467,671,467
6,Beer,25,0,1779016312868,1779016312972,1779016312998,104,130,104
3,Bloody Mary,70,0,1779016312977,1779016313005,1779016313080,28,103,28
8,Mojito,75,0,1779016312770,1779016313087,1779016313165,317,395,317
6,Red Wine,25,0,1779016313104,1779016313172,1779016313202,68,98,68
4,B52,200,0,1779016312440,1779016313209,1779016313414,769,974,769
3,Tequila shot,20,0,1779016313235,1779016313422,1779016313447,187,212,187
6,Vodka shot,20,0,1779016313353,1779016313454,1779016313479,101,126,101
3,Tequila shot,20,0,1779016313451,1779016313487,1779016313512,36,61,36
4,Martini,60,0,1779016313426,1779016313519,1779016313581,93,155,93
6,Cosmopolitan,65,0,1779016313484,1779016313588,1779016313656,104,172,104
6,Tequila shot,20,0,1779016313707,1779016313707,1779016313730,0,23,0
9,Tequila shot,20,0,1779016314440,1779016314440,1779016314463,0,23,0
